VEHICLE_NUMBER,ENTRY_TIME
21 BH 2345 AA,2022-07-01 20:42:18.278879
21 BH 2345 |,2022-07-01 20:42:19.555152
21 BH 2345 AA,2022-07-01 20:42:20.562406
~-21 BH 2345 AA,2022-07-01 20:42:21.491650
21 BH 2345 AA,2022-07-01 20:42:22.421208
21 BH 2345 AA,2022-07-01 20:42:23.414299
21 BH 2345 AA,2022-07-01 20:42:29.581246
21 BH 2345 AA,2022-07-01 20:42:30.807745
21 BH 2345 AA,2022-07-01 20:42:31.844328
21 BH 2345 AA,2022-07-01 20:42:32.909614
"au oe
71 BH 2345.48",2022-07-01 20:42:43.320000
21 BH 2345 AA,2022-07-01 20:42:44.386469
"all?
“AHO! be8017",2022-07-01 20:42:46.046430
21 BH 2345 AA,2022-07-01 20:43:50.753876
21 BH 2345 AA,2022-07-01 20:43:51.570677
"1a.
21 BH 2345 AA)",2022-07-01 20:43:58.666123
KA G5NG1904,2022-07-01 20:44:03.399896
"019
KA ew",2022-07-01 20:44:05.416870
Tw,2022-07-01 20:44:06.345562
KA one 1703,2022-07-01 20:44:07.332178
"ma 1909
KA ponesy",2022-07-01 20:44:17.745968
KA pone,2022-07-01 20:44:18.532556
"mr 190)
KA GSN",2022-07-01 20:44:19.396038
“KAOSMDZ943,2022-07-01 20:44:31.993166
"Se
“KAOSND £943,",2022-07-01 20:44:33.076550
"KA SNDL9Z3,",2022-07-01 20:44:34.772867
21 BH 2345 AA,2022-07-01 21:01:39.096371
