VEHICLE_NUMBER,ENTRY_TIME
Five,2022-06-26 23:17:32.524137
"Fs
©.",2022-06-26 23:17:33.232808
"— a
ws",2022-06-26 23:17:35.539771
21 BH 2345 AA,2022-06-26 23:18:00.580073
94 BH 2345 AA,2022-06-26 23:18:01.288909
94 BH 2345 AA,2022-06-26 23:18:01.963067
04 BH 2345 AA,2022-06-26 23:18:02.610231
24 BH 2345 AA,2022-06-26 23:18:03.274464
"na mul QQAE AA
24 BH 2345 AA",2022-06-26 23:18:03.955630
94 BH 2345 AA,2022-06-26 23:18:04.719889
Te,2022-06-26 23:18:07.266607
re,2022-06-26 23:18:08.036289
none,2022-06-26 23:18:08.843930
rey,2022-06-26 23:18:10.304805
none,2022-06-26 23:18:10.967306
ree,2022-06-26 23:18:11.640973
rr,2022-06-26 23:18:12.335139
ree,2022-06-26 23:18:13.233679
