VEHICLE_NUMBER,ENTRY_TIME
"24 BH 0001,AA |",13:41:35
21 BH 2345 AA,13:42:41
~HR26DK8337,14:32:06
| HR26DK8337,14:32:07
—HR26DK8337,14:32:08
~HR26DK8337),14:32:10
HR26DK8337,14:32:11
~HR26DK8337!,14:32:15
‘HR260K8337),14:32:17
HR260K8337,14:32:20
HRZ60KS33°,14:32:21
HR2BDRRGE!,14:32:22
">

337",14:32:23
37,14:32:24
“HR26DK8337,14:41:31
~HR26DK8337,14:41:31
- HR26DK8337,14:41:33
| ALR 486,14:43:11
MH 14 EP 4665:,14:43:22
MHI4EP 4665,14:43:23
MH AEP 4665:,14:43:24
MH 14EP 4665:,14:43:24
-MH14EP 4665:,14:43:25
‘MH 14EP 4665:,14:43:29
