VEHICLE_NUMBER,ENTRY_TIME
—HR26DK8337,2022-06-29 21:11:55.619848
- HR26DK8337,2022-06-29 21:12:01.033320
HR26DK8337,2022-06-29 21:12:02.025728
-HR26DK8337),2022-06-29 21:12:02.944471
HR26DK8337,2022-06-29 21:12:03.983400
HR26DK8337,2022-06-29 21:12:04.965027
Y MHO 1AVS866,2022-06-29 21:12:05.976184
|-HR26DK8337,2022-06-29 21:12:06.964953
HR26DK8337,2022-06-29 21:12:18.994812
HR26DK8337,2022-06-29 21:12:19.995216
| HR26DK8337.,2022-06-29 21:12:21.021906
| HR26DK8337,2022-06-29 21:12:22.042791
| HR26DK8337,2022-06-29 21:12:47.589766
| HR26DK8337,2022-06-29 21:12:48.594362
T MHOLAYG866,2022-06-29 21:13:16.660273
P GYi2 R28 9,2022-06-29 21:15:35.592929
s¥i2 RZB |,2022-06-29 21:15:42.175067
"0555)

BU",2022-06-29 21:16:01.197984
EARNS,2022-06-29 21:16:02.882511
SARIS,2022-06-29 21:16:04.675686
"ts)

BY

:",2022-06-29 21:16:05.437433
"os

i",2022-06-29 21:16:07.115997
' GYI2,2022-06-29 21:16:15.206133
GYI2 RZB |,2022-06-29 21:16:20.550116
Y ALR 466,2022-06-29 21:16:22.392674
ALR 486,2022-06-29 21:16:26.897433
T ALR 486,2022-06-29 21:16:30.378952
T ALR 4866 _,2022-06-29 21:16:31.375019
"0588)

3",2022-06-29 21:16:35.782813
ALR 486_,2022-06-29 21:16:38.376631
